11,UC,UNKNOWN COMMAND
12,SNS,SERVICE NOT SUPPORTED
21,BRR,BUSY REPEAT REQ
22,CIC,CONDITIONS INCORRECT
23,RIC,ROUTINE INCOMPLETE
31,ROOR,REQUEST OUT OF RANGE
78,RRRP,REQUEST RECEIVED,RESPONSE IS PENDING
