11,UC,अननोन  कमांड
12,SNS,सर्विस  नॉट  सपोर्टेड
21,BRR,बिजी  रिपीट  रिक्वेस्ट
22,CIC,कंडीशंस  इनकरेक्ट
23,RIC,रूटीन  इन्कम्प्लीट
31,ROOR,रिक्वेस्ट  आउट  ऑफ़  रेंज
78,RRRP,रिक्वेस्ट  रेसिवेद रिस्पांस  इस  पेंडिंग
